payment_id,subscription_id,payment_date,amount_usd,payment_method
P00272,S0078,2026-04-01,29,Card
P00273,S0078,2026-05-01,29,Card
P00274,S0078,2026-06-01,29,Card
P00275,S0079,2025-07-10,29,PayPal
P00276,S0079,2025-08-10,29,PayPal
P00277,S0079,2025-09-10,29,PayPal
P00278,S0079,2025-10-10,29,PayPal
P00279,S0079,2025-11-10,29,PayPal
P00280,S0079,2025-12-10,29,PayPal
P00281,S0079,2026-01-10,29,PayPal
P00282,S0079,2026-02-10,29,PayPal
P00283,S0079,2026-03-10,29,PayPal
P00284,S0079,2026-04-10,29,PayPal
P00285,S0079,2026-05-10,29,PayPal
P00286,S0079,2026-06-10,29,PayPal
P00287,S0080,2026-01-06,290,PayPal
P00288,S0081,2025-12-18,1490,Card
P00289,S0082,2026-03-20,79,Card
P00290,S0082,2026-04-20,79,Card
P00291,S0083,2026-01-28,79,Card
P00292,S0083,2026-02-28,79,Card
P00293,S0083,2026-03-28,79,Card
P00294,S0083,2026-04-28,79,Card
P00295,S0084,2025-10-12,149,Card
P00296,S0084,2025-11-12,149,Card
P00297,S0084,2025-12-12,149,Card
P00298,S0084,2026-01-12,149,Card
P00299,S0084,2026-02-12,149,Card
P00300,S0084,2026-03-12,149,Card
P00301,S0084,2026-04-12,149,Card
P00302,S0084,2026-05-12,149,Card
P00303,S0084,2026-06-12,149,Card
P00304,S0085,2026-04-08,29,Card
P00305,S0085,2026-05-08,29,Card
P00306,S0085,2026-06-08,29,Card
P00307,S0086,2025-05-29,1490,PayPal
P00308,S0086,2026-05-29,1490,PayPal
P00309,S0087,2025-01-21,790,PayPal
P00310,S0087,2026-01-21,790,PayPal
P00311,S0088,2025-03-24,29,Card
P00312,S0088,2025-04-24,29,Card
P00313,S0088,2025-05-24,29,Card
P00314,S0088,2025-06-24,29,Card
P00315,S0088,2025-07-24,29,Card
P00316,S0088,2025-08-24,29,Card
P00317,S0088,2025-09-24,29,Card
P00318,S0088,2025-10-24,29,Card
P00319,S0088,2025-11-24,29,Card
P00320,S0088,2025-12-24,29,Card
P00321,S0088,2026-01-24,29,Card
P00322,S0088,2026-02-24,29,Card
P00323,S0088,2026-03-24,29,Card
P00324,S0088,2026-04-24,29,Card
P00325,S0088,2026-05-24,29,Card
P00326,S0088,2026-06-24,29,Card
P00327,S0089,2026-02-13,790,Card
P00328,S0090,2025-11-14,29,Card
P00329,S0090,2025-12-14,29,Card
P00330,S0090,2026-01-14,29,Card
P00331,S0090,2026-02-14,29,Card
P00332,S0090,2026-03-14,29,Card
P00333,S0090,2026-04-14,29,Card
P00334,S0090,2026-05-14,29,Card
P00335,S0090,2026-06-14,29,Card
P00336,S0091,2025-05-13,2990,Bank Transfer
P00337,S0091,2026-05-13,2990,Bank Transfer
P00338,S0092,2025-11-23,790,Card
P00339,S0093,2025-04-07,2990,Bank Transfer
P00340,S0093,2026-04-07,2990,Bank Transfer
P00341,S0094,2026-02-28,299,Card
P00342,S0094,2026-03-28,299,Card
P00343,S0094,2026-04-28,299,Card
P00344,S0094,2026-05-28,299,Card
P00345,S0094,2026-06-28,299,Card
P00346,S0095,2025-10-06,79,Card
P00347,S0095,2025-11-06,79,Card
P00348,S0096,2025-09-14,149,Card
P00349,S0096,2025-10-14,149,Card
P00350,S0096,2025-11-14,149,Card
P00351,S0096,2025-12-14,149,Card
P00352,S0096,2026-01-14,149,Card
P00353,S0096,2026-02-14,149,Card
P00354,S0096,2026-03-14,149,Card
P00355,S0096,2026-04-14,149,Card
P00356,S0096,2026-05-14,149,Card
P00357,S0097,2025-08-10,790,Bank Transfer
P00358,S0098,2026-01-20,29,Card
P00359,S0098,2026-02-20,29,Card
P00360,S0098,2026-03-20,29,Card
P00361,S0098,2026-04-20,29,Card
P00362,S0098,2026-05-20,29,Card
P00363,S0098,2026-06-20,29,Card
P00364,S0099,2025-09-21,299,Card
P00365,S0099,2025-10-21,299,Card
P00366,S0099,2025-11-21,299,Card
P00367,S0099,2025-12-21,299,Card
P00368,S0099,2026-01-21,299,Card
P00369,S0099,2026-02-21,299,Card
P00370,S0099,2026-03-21,299,Card
P00371,S0099,2026-04-21,299,Card
P00372,S0099,2026-05-21,299,Card
P00373,S0099,2026-06-21,299,Card
P00374,S0100,2025-03-29,79,Bank Transfer
P00375,S0100,2025-04-29,79,Bank Transfer
P00376,S0100,2025-05-29,79,Bank Transfer
P00377,S0100,2025-06-29,79,Bank Transfer
P00378,S0100,2025-07-29,79,Bank Transfer
P00379,S0100,2025-08-29,79,Bank Transfer
P00380,S0100,2025-09-29,79,Bank Transfer
P00381,S0100,2025-10-29,79,Bank Transfer
P00382,S0100,2025-11-29,79,Bank Transfer
P00383,S0100,2025-12-29,79,Bank Transfer
P00384,S0100,2026-01-29,79,Bank Transfer
P00385,S0100,2026-02-28,79,Bank Transfer
P00386,S0100,2026-03-29,79,Bank Transfer
P00387,S0100,2026-04-29,79,Bank Transfer
P00388,S0100,2026-05-29,79,Bank Transfer
P00389,S0100,2026-06-29,79,Bank Transfer
P00390,S0101,2025-04-24,299,Card
P00391,S0101,2025-05-24,299,Card
P00392,S0101,2025-06-24,299,Card
P00393,S0101,2025-07-24,299,Card
P00394,S0101,2025-08-24,299,Card
P00395,S0101,2025-09-24,299,Card
P00396,S0101,2025-10-24,299,Card
P00397,S0101,2025-11-24,299,Card
P00398,S0101,2025-12-24,299,Card
P00399,S0101,2026-01-24,299,Card
P00400,S0101,2026-02-24,299,Card
P00401,S0101,2026-03-24,299,Card
P00402,S0101,2026-04-24,299,Card
P00403,S0101,2026-05-24,299,Card
P00404,S0101,2026-06-24,299,Card
P00405,S0102,2026-06-08,79,Card
P00406,S0103,2026-05-07,29,PayPal
P00407,S0103,2026-06-07,29,PayPal
P00408,S0104,2026-02-25,790,Card
P00409,S0105,2025-07-16,29,Card
P00410,S0105,2025-08-16,29,Card
P00411,S0105,2025-09-16,29,Card
P00412,S0105,2025-10-16,29,Card
P00413,S0105,2025-11-16,29,Card
P00414,S0105,2025-12-16,29,Card
P00415,S0105,2026-01-16,29,Card
P00416,S0105,2026-02-16,29,Card
P00417,S0105,2026-03-16,29,Card
P00418,S0105,2026-04-16,29,Card
P00419,S0105,2026-05-16,29,Card
P00420,S0105,2026-06-16,29,Card
P00421,S0106,2026-06-03,29,Bank Transfer
P00422,S0107,2026-03-26,149,PayPal
P00423,S0107,2026-04-26,149,PayPal
P00424,S0107,2026-05-26,149,PayPal
P00425,S0107,2026-06-26,149,PayPal
P00426,S0108,2026-02-19,29,PayPal
P00427,S0109,2025-10-01,2990,Card
P00428,S0110,2025-07-25,79,Apple Pay
P00429,S0110,2025-08-25,79,Apple Pay
P00430,S0110,2025-09-25,79,Apple Pay
P00431,S0110,2025-10-25,79,Apple Pay
P00432,S0110,2025-11-25,79,Apple Pay
P00433,S0110,2025-12-25,79,Apple Pay
P00434,S0110,2026-01-25,79,Apple Pay
P00435,S0111,2025-03-19,79,Apple Pay
P00436,S0111,2025-04-19,79,Apple Pay
P00437,S0111,2025-05-19,79,Apple Pay
P00438,S0111,2025-06-19,79,Apple Pay
P00439,S0111,2025-07-19,79,Apple Pay
P00440,S0112,2026-05-20,290,Apple Pay
P00441,S0113,2025-10-27,29,Card
P00442,S0113,2025-11-27,29,Card
P00443,S0113,2025-12-27,29,Card
P00444,S0113,2026-01-27,29,Card
P00445,S0113,2026-02-27,29,Card
P00446,S0113,2026-03-27,29,Card
P00447,S0113,2026-04-27,29,Card
P00448,S0114,2025-05-16,790,PayPal
P00449,S0114,2026-05-16,790,PayPal
P00450,S0115,2025-08-15,29,Card
P00451,S0115,2025-09-15,29,Card
P00452,S0115,2025-10-15,29,Card
P00453,S0115,2025-11-15,29,Card
P00454,S0115,2025-12-15,29,Card
P00455,S0115,2026-01-15,29,Card
P00456,S0115,2026-02-15,29,Card
P00457,S0115,2026-03-15,29,Card
P00458,S0115,2026-04-15,29,Card
P00459,S0115,2026-05-15,29,Card
P00460,S0115,2026-06-15,29,Card
P00461,S0116,2026-01-20,790,Card
P00462,S0117,2025-05-07,790,PayPal
P00463,S0118,2026-04-05,29,Card
P00464,S0118,2026-05-05,29,Card
P00465,S0119,2026-03-27,790,PayPal
P00466,S0120,2026-02-07,29,Card
P00467,S0120,2026-03-07,29,Card
P00468,S0120,2026-04-07,29,Card
P00469,S0120,2026-05-07,29,Card
P00470,S0120,2026-06-07,29,Card
P00471,S0121,2025-10-16,29,Card
P00472,S0121,2025-11-16,29,Card
P00473,S0121,2025-12-16,29,Card
P00474,S0122,2026-01-09,149,Card
P00475,S0122,2026-02-09,149,Card
P00476,S0122,2026-03-09,149,Card
P00477,S0122,2026-04-09,149,Card
P00478,S0122,2026-05-09,149,Card
P00479,S0122,2026-06-09,149,Card
P00480,S0123,2026-01-08,290,Card
P00481,S0124,2026-01-19,290,Bank Transfer
P00482,S0125,2025-03-25,790,Apple Pay
P00483,S0126,2025-10-14,79,Card
P00484,S0126,2025-11-14,79,Card
P00485,S0127,2025-02-04,299,PayPal
P00486,S0127,2025-03-04,299,PayPal
P00487,S0127,2025-04-04,299,PayPal
P00488,S0127,2025-05-04,299,PayPal
P00489,S0127,2025-06-04,299,PayPal
P00490,S0127,2025-07-04,299,PayPal
P00491,S0127,2025-08-04,299,PayPal
P00492,S0127,2025-09-04,299,PayPal
P00493,S0127,2025-10-04,299,PayPal
P00494,S0127,2025-11-04,299,PayPal
P00495,S0127,2025-12-04,299,PayPal
P00496,S0127,2026-01-04,299,PayPal
P00497,S0127,2026-02-04,299,PayPal
P00498,S0127,2026-03-04,299,PayPal
P00499,S0127,2026-04-04,299,PayPal
P00500,S0127,2026-05-04,299,PayPal
P00501,S0127,2026-06-04,299,PayPal
P00502,S0128,2025-11-08,1490,Apple Pay
P00503,S0129,2025-08-06,1490,Card
P00504,S0130,2025-04-27,790,PayPal
P00505,S0131,2025-03-10,790,Apple Pay
P00506,S0131,2026-03-10,790,Apple Pay
P00507,S0132,2026-01-12,290,Apple Pay
P00508,S0133,2025-05-03,149,Card
P00509,S0133,2025-06-03,149,Card
P00510,S0133,2025-07-03,149,Card
P00511,S0133,2025-08-03,149,Card
P00512,S0133,2025-09-03,149,Card
P00513,S0133,2025-10-03,149,Card
P00514,S0133,2025-11-03,149,Card
P00515,S0134,2026-05-14,790,Card
P00516,S0135,2026-01-29,29,Card
P00517,S0135,2026-02-28,29,Card
P00518,S0135,2026-03-29,29,Card
P00519,S0135,2026-04-29,29,Card
P00520,S0136,2025-08-13,790,PayPal
P00521,S0137,2026-01-21,149,Card
P00522,S0137,2026-02-21,149,Card
P00523,S0137,2026-03-21,149,Card
P00524,S0137,2026-04-21,149,Card
P00525,S0137,2026-05-21,149,Card
P00526,S0137,2026-06-21,149,Card
P00527,S0138,2025-01-06,79,Card
P00528,S0138,2025-02-06,79,Card
P00529,S0138,2025-03-06,79,Card
P00530,S0138,2025-04-06,79,Card
P00531,S0139,2026-06-05,290,Card
P00532,S0140,2025-11-22,299,PayPal
P00533,S0140,2025-12-22,299,PayPal
P00534,S0140,2026-01-22,299,PayPal
P00535,S0140,2026-02-22,299,PayPal
P00536,S0140,2026-03-22,299,PayPal
P00537,S0140,2026-04-22,299,PayPal
P00538,S0140,2026-05-22,299,PayPal
P00539,S0140,2026-06-22,299,PayPal
P00540,S0141,2026-03-03,29,Card
P00541,S0141,2026-04-03,29,Card
P00542,S0141,2026-05-03,29,Card
P00543,S0141,2026-06-03,29,Card
P00544,S0142,2025-03-14,299,Apple Pay
P00545,S0142,2025-04-14,299,Apple Pay
P00546,S0142,2025-05-14,299,Apple Pay
P00547,S0142,2025-06-14,299,Apple Pay
P00548,S0142,2025-07-14,299,Apple Pay
P00549,S0143,2025-11-10,79,PayPal
P00550,S0143,2025-12-10,79,PayPal
P00551,S0144,2025-11-01,299,Card
P00552,S0144,2025-12-01,299,Card
P00553,S0144,2026-01-01,299,Card
P00554,S0144,2026-02-01,299,Card
P00555,S0144,2026-03-01,299,Card
P00556,S0144,2026-04-01,299,Card
P00557,S0144,2026-05-01,299,Card
P00558,S0144,2026-06-01,299,Card
P00559,S0145,2026-06-16,299,Card
P00560,S0146,2026-01-30,790,Card
P00561,S0147,2025-11-03,1490,Card
P00562,S0148,2025-07-26,29,Card
P00563,S0148,2025-08-26,29,Card
P00564,S0148,2025-09-26,29,Card
P00565,S0148,2025-10-26,29,Card
P00566,S0148,2025-11-26,29,Card
P00567,S0149,2025-12-26,79,Card
P00568,S0150,2025-08-17,29,PayPal
P00569,S0150,2025-09-17,29,PayPal
P00570,S0150,2025-10-17,29,PayPal
P00571,S0150,2025-11-17,29,PayPal
P00572,S0150,2025-12-17,29,PayPal
P00573,S0150,2026-01-17,29,PayPal
P00574,S0150,2026-02-17,29,PayPal
P00575,S0151,2026-03-17,79,PayPal
P00576,S0152,2025-12-23,29,Card
P00577,S0152,2026-01-23,29,Card
P00578,S0152,2026-02-23,29,Card
P00579,S0153,2025-10-03,790,Apple Pay
P00580,S0154,2025-01-27,29,Apple Pay
P00581,S0154,2025-02-27,29,Apple Pay
P00582,S0154,2025-03-27,29,Apple Pay
P00583,S0154,2025-04-27,29,Apple Pay
P00584,S0154,2025-05-27,29,Apple Pay
P00585,S0154,2025-06-27,29,Apple Pay
P00586,S0154,2025-07-27,29,Apple Pay
P00587,S0154,2025-08-27,29,Apple Pay
P00588,S0154,2025-09-27,29,Apple Pay
P00589,S0154,2025-10-27,29,Apple Pay
P00590,S0154,2025-11-27,29,Apple Pay
P00591,S0154,2025-12-27,29,Apple Pay
P00592,S0154,2026-01-27,29,Apple Pay
P00593,S0154,2026-02-27,29,Apple Pay
P00594,S0154,2026-03-27,29,Apple Pay
P00595,S0154,2026-04-27,29,Apple Pay
P00596,S0154,2026-05-27,29,Apple Pay
P00597,S0154,2026-06-27,29,Apple Pay
P00598,S0155,2026-04-01,790,Card
P00599,S0156,2026-05-29,2990,Bank Transfer
P00600,S0157,2025-04-20,149,Card
P00601,S0157,2025-05-20,149,Card
P00602,S0157,2025-06-20,149,Card
P00603,S0157,2025-07-20,149,Card
P00604,S0157,2025-08-20,149,Card
P00605,S0158,2025-12-11,29,PayPal
P00606,S0158,2026-01-11,29,PayPal
P00607,S0158,2026-02-11,29,PayPal
P00608,S0158,2026-03-11,29,PayPal
P00609,S0158,2026-04-11,29,PayPal
P00610,S0158,2026-05-11,29,PayPal
P00611,S0158,2026-06-11,29,PayPal
P00612,S0159,2025-03-01,790,Card
P00613,S0160,2026-02-18,290,PayPal
P00614,S0161,2025-07-03,29,PayPal
P00615,S0161,2025-08-03,29,PayPal
P00616,S0161,2025-09-03,29,PayPal
P00617,S0161,2025-10-03,29,PayPal
P00618,S0162,2026-01-19,2990,Apple Pay
P00619,S0163,2026-02-22,2990,Bank Transfer
P00620,S0164,2026-03-09,29,PayPal
P00621,S0164,2026-04-09,29,PayPal
P00622,S0164,2026-05-09,29,PayPal
P00623,S0164,2026-06-09,29,PayPal
P00624,S0165,2025-03-08,29,PayPal
P00625,S0165,2025-04-08,29,PayPal
P00626,S0165,2025-05-08,29,PayPal
P00627,S0165,2025-06-08,29,PayPal
P00628,S0165,2025-07-08,29,PayPal
P00629,S0165,2025-08-08,29,PayPal
P00630,S0165,2025-09-08,29,PayPal
P00631,S0165,2025-10-08,29,PayPal
P00632,S0165,2025-11-08,29,PayPal
P00633,S0165,2025-12-08,29,PayPal
P00634,S0165,2026-01-08,29,PayPal
P00635,S0165,2026-02-08,29,PayPal
P00636,S0165,2026-03-08,29,PayPal
P00637,S0165,2026-04-08,29,PayPal
P00638,S0165,2026-05-08,29,PayPal
P00639,S0165,2026-06-08,29,PayPal
P00640,S0166,2026-05-07,790,Card
P00641,S0167,2025-06-07,790,Card
P00642,S0168,2025-02-04,29,Card
P00643,S0168,2025-03-04,29,Card
P00644,S0168,2025-04-04,29,Card
P00645,S0168,2025-05-04,29,Card
P00646,S0169,2025-12-08,29,Card
P00647,S0169,2026-01-08,29,Card
P00648,S0169,2026-02-08,29,Card
P00649,S0169,2026-03-08,29,Card
P00650,S0169,2026-04-08,29,Card
P00651,S0169,2026-05-08,29,Card
P00652,S0169,2026-06-08,29,Card
