subscription_id,customer_id,plan_id,billing_cycle,start_date,end_date,status
S0084,C0082,3,Monthly,2025-10-12,,Active
S0085,C0083,1,Monthly,2026-04-08,,Active
S0086,C0084,3,Annual,2025-05-29,,Active
S0087,C0085,2,Annual,2025-01-21,,Active
S0088,C0086,1,Monthly,2025-03-24,,Active
S0089,C0087,2,Annual,2026-02-13,,Active
S0090,C0088,1,Monthly,2025-11-14,,Active
S0091,C0089,4,Annual,2025-05-13,,Active
S0092,C0090,2,Annual,2025-11-23,,Active
S0093,C0091,4,Annual,2025-04-07,,Active
S0094,C0092,4,Monthly,2026-02-28,,Active
S0095,C0093,2,Monthly,2025-10-06,2025-12-06,Churned
S0096,C0094,3,Monthly,2025-09-14,2026-06-14,Churned
S0097,C0095,2,Annual,2025-08-10,,Active
S0098,C0096,1,Monthly,2026-01-20,,Active
S0099,C0097,4,Monthly,2025-09-21,,Active
S0100,C0098,2,Monthly,2025-03-29,,Active
S0101,C0099,4,Monthly,2025-04-24,,Active
S0102,C0100,2,Monthly,2026-06-08,,Active
S0103,C0101,1,Monthly,2026-05-07,,Active
S0104,C0102,2,Annual,2026-02-25,,Active
S0105,C0103,1,Monthly,2025-07-16,,Active
S0106,C0104,1,Monthly,2026-06-03,,Active
S0107,C0105,3,Monthly,2026-03-26,,Active
S0108,C0106,1,Monthly,2026-02-19,2026-03-19,Churned
S0109,C0107,4,Annual,2025-10-01,,Active
S0110,C0108,2,Monthly,2025-07-25,2026-02-25,Churned
S0111,C0109,2,Monthly,2025-03-19,2025-08-19,Churned
S0112,C0110,1,Annual,2026-05-20,,Active
S0113,C0111,1,Monthly,2025-10-27,2026-05-27,Churned
S0114,C0112,2,Annual,2025-05-16,,Active
S0115,C0113,1,Monthly,2025-08-15,,Active
S0116,C0114,2,Annual,2026-01-20,,Active
S0117,C0115,2,Annual,2025-05-07,2026-05-07,Churned
S0118,C0116,1,Monthly,2026-04-05,2026-06-05,Churned
S0119,C0117,2,Annual,2026-03-27,,Active
S0120,C0118,1,Monthly,2026-02-07,,Active
S0121,C0119,1,Monthly,2025-10-16,2026-01-16,Churned
S0122,C0120,3,Monthly,2026-01-09,,Active
S0123,C0121,1,Annual,2026-01-08,,Active
S0124,C0122,1,Annual,2026-01-19,,Active
S0125,C0123,2,Annual,2025-03-25,2026-03-25,Churned
S0126,C0124,2,Monthly,2025-10-14,2025-12-14,Churned
S0127,C0125,4,Monthly,2025-02-04,,Active
S0128,C0126,3,Annual,2025-11-08,,Active
S0129,C0127,3,Annual,2025-08-06,,Active
S0130,C0128,2,Annual,2025-04-27,2026-04-27,Churned
S0131,C0129,2,Annual,2025-03-10,,Active
S0132,C0130,1,Annual,2026-01-12,,Active
S0133,C0131,3,Monthly,2025-05-03,2025-12-03,Churned
S0134,C0132,2,Annual,2026-05-14,,Active
S0135,C0133,1,Monthly,2026-01-29,2026-05-29,Churned
S0136,C0134,2,Annual,2025-08-13,,Active
S0137,C0135,3,Monthly,2026-01-21,,Active
S0138,C0136,2,Monthly,2025-01-06,2025-05-06,Churned
S0139,C0137,1,Annual,2026-06-05,,Active
S0140,C0138,4,Monthly,2025-11-22,,Active
S0141,C0139,1,Monthly,2026-03-03,,Active
S0142,C0140,4,Monthly,2025-03-14,2025-08-14,Churned
S0143,C0141,2,Monthly,2025-11-10,2026-01-10,Churned
S0144,C0142,4,Monthly,2025-11-01,,Active
S0145,C0143,4,Monthly,2026-06-16,,Active
S0146,C0144,2,Annual,2026-01-30,,Active
S0147,C0145,3,Annual,2025-11-03,,Active
S0148,C0146,1,Monthly,2025-07-26,2025-12-26,Upgraded
S0149,C0146,2,Monthly,2025-12-26,2026-01-26,Churned
S0150,C0147,1,Monthly,2025-08-17,2026-03-17,Upgraded
S0151,C0147,2,Monthly,2026-03-17,2026-04-17,Churned
S0152,C0148,1,Monthly,2025-12-23,2026-03-23,Churned
S0153,C0149,2,Annual,2025-10-03,,Active
S0154,C0150,1,Monthly,2025-01-27,,Active
S0155,C0151,2,Annual,2026-04-01,,Active
S0156,C0152,4,Annual,2026-05-29,,Active
S0157,C0153,3,Monthly,2025-04-20,2025-09-20,Churned
S0158,C0154,1,Monthly,2025-12-11,,Active
S0159,C0155,2,Annual,2025-03-01,2026-03-01,Churned
S0160,C0156,1,Annual,2026-02-18,,Active
S0161,C0157,1,Monthly,2025-07-03,2025-11-03,Churned
S0162,C0158,4,Annual,2026-01-19,,Active
S0163,C0159,4,Annual,2026-02-22,,Active
S0164,C0160,1,Monthly,2026-03-09,,Active
S0165,C0161,1,Monthly,2025-03-08,,Active
S0166,C0162,2,Annual,2026-05-07,,Active
S0167,C0163,2,Annual,2025-06-07,2026-06-07,Churned
S0168,C0164,1,Monthly,2025-02-04,2025-06-04,Churned
S0169,C0165,1,Monthly,2025-12-08,,Active
S0170,C0166,2,Annual,2025-09-20,,Active
S0171,C0167,1,Monthly,2026-04-10,,Active
S0172,C0168,3,Monthly,2026-04-24,,Active
S0173,C0169,3,Annual,2025-08-26,,Active
S0174,C0170,2,Monthly,2026-06-23,,Active
S0175,C0171,2,Monthly,2025-07-17,2025-09-17,Churned
S0176,C0172,3,Annual,2025-12-10,,Active
S0177,C0173,1,Monthly,2025-07-29,,Active
S0178,C0174,4,Annual,2026-06-07,,Active
S0179,C0175,1,Annual,2025-05-15,,Active
S0180,C0176,4,Annual,2025-02-13,,Active
S0181,C0177,1,Annual,2025-10-24,,Active
S0182,C0178,3,Monthly,2026-06-17,,Active
S0183,C0179,1,Monthly,2026-05-25,,Active
S0184,C0180,3,Monthly,2026-03-29,,Active
S0185,C0181,2,Monthly,2026-05-13,,Active
S0186,C0182,1,Monthly,2026-05-28,,Active
S0187,C0183,3,Annual,2025-12-06,,Active
S0188,C0184,1,Monthly,2025-08-29,2025-10-29,Churned
S0189,C0185,2,Annual,2026-03-06,,Active
S0190,C0186,1,Annual,2026-01-27,,Active
S0191,C0187,3,Monthly,2025-09-12,2025-11-12,Upgraded
S0192,C0187,4,Monthly,2025-11-12,,Active
S0193,C0188,3,Monthly,2025-03-30,2025-04-30,Churned
S0194,C0189,2,Monthly,2026-03-05,,Active
S0195,C0190,3,Annual,2025-07-15,,Active
S0196,C0191,4,Monthly,2026-06-28,,Active
S0197,C0192,3,Annual,2025-06-02,2026-06-02,Churned
S0198,C0193,1,Monthly,2025-04-08,2025-05-08,Churned
S0199,C0194,2,Monthly,2026-04-03,2026-06-03,Churned
S0200,C0195,1,Monthly,2025-04-10,,Active
S0201,C0196,2,Monthly,2025-05-13,2025-11-13,Churned
S0202,C0197,1,Monthly,2026-01-20,,Active
S0203,C0198,3,Monthly,2026-05-08,2026-06-08,Churned
S0204,C0199,2,Annual,2025-05-05,,Active
S0205,C0200,2,Annual,2025-08-06,,Active
S0206,C0201,1,Monthly,2026-03-30,,Active
S0207,C0202,1,Monthly,2026-06-29,,Active
S0208,C0203,3,Annual,2025-11-07,,Active
S0209,C0204,2,Annual,2025-04-06,,Active
S0210,C0205,4,Annual,2025-01-02,,Active
S0211,C0206,2,Monthly,2025-06-29,2025-07-29,Churned
S0212,C0207,1,Monthly,2025-04-22,2025-11-22,Churned
S0213,C0208,3,Monthly,2026-02-22,,Active
S0214,C0209,3,Annual,2025-04-09,,Active
S0215,C0210,1,Annual,2025-11-20,,Active
S0216,C0211,3,Monthly,2026-02-02,,Active
S0217,C0212,1,Monthly,2026-01-21,,Active
S0218,C0213,1,Monthly,2025-05-18,2025-09-18,Churned
S0219,C0214,1,Monthly,2026-04-10,,Active
S0220,C0215,2,Monthly,2026-02-20,2026-03-20,Churned
S0221,C0216,3,Annual,2026-03-21,,Active
S0222,C0217,1,Monthly,2025-04-14,2025-09-14,Churned
S0223,C0218,3,Monthly,2025-04-06,2025-09-06,Upgraded
S0224,C0218,4,Monthly,2025-09-06,2026-06-06,Churned
S0225,C0219,3,Annual,2026-05-01,,Active
S0226,C0220,2,Monthly,2025-09-29,2025-11-29,Churned
S0227,C0221,1,Annual,2025-08-09,,Active
S0228,C0222,1,Monthly,2025-11-10,2026-02-10,Churned
S0229,C0223,1,Monthly,2026-01-22,2026-03-22,Upgraded
S0230,C0223,2,Monthly,2026-03-22,2026-04-22,Churned
S0231,C0224,4,Monthly,2026-06-08,,Active
S0232,C0225,3,Monthly,2025-07-12,2025-12-12,Upgraded
S0233,C0225,4,Monthly,2025-12-12,,Active
S0234,C0226,1,Monthly,2026-05-23,,Active
S0235,C0227,2,Annual,2025-01-19,,Active
S0236,C0228,1,Monthly,2025-12-21,,Active
S0237,C0229,1,Annual,2026-01-01,,Active
S0238,C0230,1,Monthly,2025-03-14,2025-04-14,Churned
S0239,C0231,1,Annual,2025-04-15,,Active
S0240,C0232,1,Monthly,2025-10-20,2025-11-20,Churned
S0241,C0233,1,Monthly,2026-06-05,,Active
S0242,C0234,2,Monthly,2026-01-05,2026-02-05,Churned
S0243,C0235,2,Annual,2026-06-23,,Active
S0244,C0236,2,Monthly,2026-04-21,,Active
S0245,C0237,1,Monthly,2025-11-25,,Active
S0246,C0238,2,Monthly,2026-03-09,,Active
S0247,C0239,2,Monthly,2025-01-31,2025-07-31,Churned
S0248,C0240,4,Annual,2025-03-09,,Active
S0249,C0241,1,Monthly,2026-04-20,,Active
S0250,C0242,2,Annual,2026-04-05,,Active
S0251,C0243,1,Monthly,2025-06-28,,Active
S0252,C0244,1,Annual,2025-12-11,,Active
S0253,C0245,2,Monthly,2026-01-25,2026-02-25,Churned
S0254,C0246,3,Monthly,2026-05-11,,Active
S0255,C0247,4,Annual,2026-01-25,,Active
S0256,C0248,2,Monthly,2025-10-15,2026-02-15,Churned
S0257,C0249,1,Monthly,2025-09-02,2026-04-02,Churned
S0258,C0250,3,Annual,2025-10-06,,Active
S0259,C0251,1,Monthly,2026-01-22,2026-05-22,Churned
S0260,C0252,2,Monthly,2026-05-06,,Active
S0261,C0253,3,Monthly,2025-10-09,2026-03-09,Upgraded
S0262,C0253,4,Monthly,2026-03-09,,Active
S0263,C0254,2,Monthly,2025-06-17,2025-08-17,Churned
S0264,C0255,2,Monthly,2025-06-08,2025-07-08,Churned
S0265,C0256,1,Monthly,2026-03-04,,Active
S0266,C0257,1,Monthly,2026-04-19,2026-05-19,Churned
S0267,C0258,4,Monthly,2025-03-22,,Active
S0268,C0259,1,Annual,2025-02-21,,Active
S0269,C0260,1,Annual,2026-01-30,,Active
S0270,C0261,2,Monthly,2025-04-04,,Active
S0271,C0262,1,Monthly,2026-04-13,2026-05-13,Churned
S0272,C0263,1,Monthly,2025-08-08,,Active
S0273,C0264,1,Monthly,2025-04-28,2025-06-28,Churned
S0274,C0265,2,Monthly,2026-05-17,2026-06-17,Churned
S0275,C0266,2,Monthly,2025-05-04,2025-09-04,Churned
S0276,C0267,3,Annual,2025-07-22,,Active
S0277,C0268,1,Monthly,2025-04-02,2025-05-02,Churned
S0278,C0269,4,Annual,2025-03-09,,Active
S0279,C0270,1,Monthly,2025-01-23,,Active
S0280,C0271,1,Monthly,2025-02-15,2025-04-15,Churned
S0281,C0272,4,Annual,2025-05-24,,Active
S0282,C0273,3,Annual,2025-02-16,,Active
S0283,C0274,1,Monthly,2026-01-27,,Active
S0284,C0275,2,Monthly,2026-02-16,,Active
S0285,C0276,3,Monthly,2025-09-02,2026-03-02,Churned
S0286,C0277,1,Monthly,2025-08-03,2026-05-03,Churned
S0287,C0278,1,Monthly,2025-11-24,2026-03-24,Churned
S0288,C0279,2,Monthly,2026-05-02,,Active
S0289,C0280,3,Annual,2026-04-12,,Active
S0290,C0281,2,Annual,2025-02-01,,Active
S0291,C0282,2,Annual,2025-05-10,,Active
S0292,C0283,4,Monthly,2025-06-18,,Active
S0293,C0284,1,Annual,2025-06-06,,Active
S0294,C0285,3,Annual,2026-01-15,,Active
S0295,C0286,1,Monthly,2025-10-31,,Active
S0296,C0287,3,Annual,2025-02-02,,Active
S0297,C0288,2,Monthly,2025-09-02,2025-12-02,Churned
S0298,C0289,1,Monthly,2025-12-09,,Active
S0299,C0290,2,Annual,2025-03-26,,Active
S0300,C0291,3,Monthly,2026-04-13,,Active
S0301,C0292,2,Annual,2025-02-18,,Active
S0302,C0293,1,Annual,2026-05-02,,Active
S0303,C0294,1,Monthly,2025-03-23,2025-08-23,Churned
S0304,C0295,2,Monthly,2026-04-03,,Active
S0305,C0296,2,Monthly,2026-05-23,,Active
S0306,C0297,2,Monthly,2026-06-05,,Active
S0307,C0298,1,Monthly,2026-04-26,,Active
S0308,C0299,3,Annual,2026-03-10,,Active
S0309,C0300,1,Monthly,2026-01-06,,Active
S0310,C0301,1,Monthly,2026-03-11,,Active
S0311,C0302,2,Annual,2025-04-01,2026-04-01,Churned
S0312,C0303,2,Annual,2025-12-06,,Active
S0313,C0304,4,Annual,2025-11-18,,Active
S0314,C0305,2,Annual,2026-04-10,,Active
S0315,C0306,1,Monthly,2025-11-11,,Active
S0316,C0307,3,Annual,2025-09-25,,Active
S0317,C0308,1,Monthly,2026-01-04,,Active
S0318,C0309,4,Monthly,2025-07-13,,Active
S0319,C0310,1,Monthly,2025-04-06,2025-05-06,Churned
S0320,C0311,4,Monthly,2025-11-15,2026-05-15,Churned
S0321,C0312,3,Monthly,2025-10-11,,Active
S0322,C0313,3,Annual,2025-06-02,,Active
S0323,C0314,1,Monthly,2025-09-03,,Active
S0324,C0315,3,Monthly,2025-09-26,2025-10-26,Churned
S0325,C0316,3,Monthly,2025-08-02,2025-12-02,Churned
S0326,C0317,1,Monthly,2025-09-24,2025-10-24,Churned
S0327,C0318,2,Annual,2026-02-26,,Active
S0328,C0319,2,Monthly,2025-07-15,2025-12-15,Churned
S0329,C0320,4,Annual,2026-06-10,,Active
S0330,C0321,3,Annual,2026-05-25,,Active
S0331,C0322,2,Monthly,2025-11-30,2026-03-30,Churned
S0332,C0323,2,Monthly,2025-08-04,2026-01-04,Churned
S0333,C0324,1,Annual,2025-12-30,,Active
S0334,C0325,2,Annual,2026-04-29,,Active
S0335,C0326,3,Monthly,2026-01-05,,Active
S0336,C0327,2,Annual,2026-04-02,,Active
S0337,C0328,3,Monthly,2025-12-23,,Active
S0338,C0329,2,Monthly,2026-01-03,,Active
S0339,C0330,2,Monthly,2025-07-19,2025-10-19,Churned
S0340,C0331,3,Annual,2026-03-03,,Active
S0341,C0332,1,Monthly,2025-05-22,2025-08-22,Upgraded
S0342,C0332,2,Monthly,2025-08-22,2025-12-22,Churned
S0343,C0333,4,Monthly,2026-02-07,2026-04-07,Churned
S0344,C0334,4,Annual,2026-04-03,,Active
S0345,C0335,4,Monthly,2025-04-02,2025-09-02,Churned
S0346,C0336,4,Monthly,2026-01-06,,Active
S0347,C0337,2,Annual,2025-03-17,,Active
S0348,C0338,2,Monthly,2026-02-03,2026-04-03,Upgraded
S0349,C0338,3,Monthly,2026-04-03,,Active
S0350,C0339,3,Monthly,2025-03-25,,Active
S0351,C0340,1,Monthly,2026-06-19,,Active
S0352,C0341,3,Monthly,2025-04-09,2025-07-09,Churned
S0353,C0342,1,Annual,2026-06-30,,Active
S0354,C0343,3,Monthly,2026-04-20,,Active
S0355,C0344,2,Monthly,2026-01-21,2026-05-21,Upgraded
S0356,C0344,3,Monthly,2026-05-21,,Active
S0357,C0345,3,Annual,2026-03-06,,Active
S0358,C0346,2,Monthly,2026-04-22,2026-05-22,Churned
S0359,C0347,2,Monthly,2026-06-17,,Active
S0360,C0348,4,Monthly,2025-07-31,,Active
S0361,C0349,2,Annual,2026-01-15,,Active
S0362,C0350,1,Monthly,2025-03-22,,Active
S0363,C0351,1,Monthly,2026-01-11,,Active
S0364,C0352,2,Monthly,2025-05-02,,Active
S0365,C0353,2,Monthly,2026-01-04,,Active
S0366,C0354,2,Monthly,2026-01-27,,Active
S0367,C0355,1,Monthly,2025-11-23,,Active
S0368,C0356,1,Annual,2025-12-12,,Active
S0369,C0357,4,Monthly,2026-03-22,,Active
S0370,C0358,3,Monthly,2026-04-01,,Active
S0371,C0359,1,Monthly,2025-11-02,2026-03-02,Churned
S0372,C0360,1,Annual,2026-01-16,,Active
S0373,C0361,1,Monthly,2026-06-19,,Active
S0374,C0362,3,Monthly,2025-04-29,2025-05-29,Churned
S0375,C0363,3,Monthly,2025-04-23,2025-09-23,Churned
S0376,C0364,2,Annual,2025-03-08,2026-03-08,Churned
S0377,C0365,2,Monthly,2026-01-26,,Active
S0378,C0366,3,Annual,2025-10-16,,Active
S0379,C0367,1,Annual,2026-03-26,,Active
S0380,C0368,1,Monthly,2026-02-05,,Active
S0381,C0369,2,Monthly,2025-08-01,,Active
S0382,C0370,4,Annual,2026-05-02,,Active
S0383,C0371,2,Annual,2026-03-31,,Active
S0384,C0372,2,Annual,2025-07-03,,Active
S0385,C0373,3,Annual,2025-09-29,,Active
S0386,C0374,1,Annual,2025-08-23,,Active
S0387,C0375,2,Monthly,2025-04-05,2025-05-05,Churned
S0388,C0376,2,Annual,2025-04-26,2026-04-26,Churned
S0389,C0377,4,Annual,2026-06-05,,Active
S0390,C0378,1,Monthly,2025-10-05,,Active
S0391,C0379,2,Annual,2025-09-18,,Active
S0392,C0380,4,Annual,2026-02-09,,Active
S0393,C0381,3,Monthly,2025-12-10,,Active
S0394,C0382,2,Annual,2026-06-06,,Active
S0395,C0383,1,Monthly,2026-03-19,,Active
S0396,C0384,1,Monthly,2025-11-01,,Active
S0397,C0385,1,Monthly,2025-09-08,2026-02-08,Churned
S0398,C0386,1,Annual,2026-06-17,,Active
S0399,C0387,3,Annual,2026-02-14,,Active
S0400,C0388,3,Monthly,2026-06-21,,Active
S0401,C0389,3,Annual,2025-04-07,,Active
S0402,C0390,1,Annual,2026-04-20,,Active
S0403,C0391,1,Monthly,2026-01-24,2026-05-24,Upgraded
S0404,C0391,2,Monthly,2026-05-24,,Active
S0405,C0392,3,Annual,2025-04-12,2026-04-12,Churned
S0406,C0393,1,Annual,2026-01-08,,Active
S0407,C0394,1,Monthly,2026-02-16,2026-04-16,Churned
S0408,C0395,2,Monthly,2025-01-18,2025-03-18,Upgraded
S0409,C0395,3,Monthly,2025-03-18,,Active
S0410,C0396,1,Monthly,2025-10-03,,Active
S0411,C0397,1,Monthly,2026-04-17,,Active
S0412,C0398,1,Annual,2025-07-05,,Active
S0413,C0399,3,Monthly,2025-11-18,2026-04-18,Upgraded
S0414,C0399,4,Monthly,2026-04-18,,Active
S0415,C0400,1,Monthly,2025-10-29,,Active
S0416,C0401,2,Monthly,2025-08-17,2026-02-17,Churned
S0417,C0402,2,Annual,2026-05-24,,Active
S0418,C0403,2,Annual,2026-03-10,,Active
S0419,C0404,2,Monthly,2025-03-29,2025-04-29,Churned
S0420,C0405,1,Monthly,2026-06-25,,Active
S0421,C0406,1,Annual,2026-05-29,,Active
S0422,C0407,2,Annual,2025-07-23,,Active
S0423,C0408,4,Annual,2026-04-20,,Active
S0424,C0409,2,Monthly,2025-03-17,2025-06-17,Churned
S0425,C0410,2,Monthly,2026-06-28,,Active
S0426,C0411,4,Annual,2026-01-27,,Active
S0427,C0412,3,Annual,2026-01-13,,Active
S0428,C0413,3,Monthly,2025-03-03,2025-04-03,Churned
S0429,C0414,2,Monthly,2026-05-01,,Active
S0430,C0415,4,Monthly,2025-01-08,2025-09-08,Churned
S0431,C0416,2,Monthly,2025-06-02,2025-10-02,Upgraded
S0432,C0416,3,Monthly,2025-10-02,,Active
S0433,C0417,2,Monthly,2025-04-07,,Active
S0434,C0418,3,Annual,2026-03-04,,Active
S0435,C0419,2,Monthly,2025-05-31,2026-02-28,Upgraded
S0436,C0419,3,Monthly,2026-02-28,,Active
S0437,C0420,4,Monthly,2026-05-03,2026-06-03,Churned
S0438,C0421,4,Monthly,2026-01-20,,Active
S0439,C0422,2,Monthly,2025-01-11,2025-04-11,Churned
S0440,C0423,1,Monthly,2025-01-06,2025-04-06,Upgraded
S0441,C0423,2,Monthly,2025-04-06,2025-05-06,Churned
S0442,C0424,3,Monthly,2025-02-20,2025-09-20,Churned
S0443,C0425,1,Monthly,2026-01-31,2026-02-28,Churned
S0444,C0426,2,Monthly,2026-04-24,2026-06-24,Churned
S0445,C0427,1,Annual,2025-06-30,,Active
S0446,C0428,3,Annual,2026-04-18,,Active
S0447,C0429,4,Monthly,2025-02-19,2025-03-19,Churned
S0448,C0430,1,Monthly,2026-04-05,,Active
S0449,C0431,3,Annual,2026-05-27,,Active
S0450,C0432,3,Annual,2026-03-24,,Active
S0451,C0433,1,Monthly,2026-02-08,2026-04-08,Upgraded
S0452,C0433,2,Monthly,2026-04-08,2026-05-08,Churned
S0453,C0434,1,Annual,2026-04-11,,Active
S0454,C0435,2,Annual,2025-02-18,2026-02-18,Churned
S0455,C0436,3,Monthly,2025-05-01,2025-06-01,Churned
S0456,C0437,2,Monthly,2025-04-25,2025-08-25,Churned
S0457,C0438,1,Annual,2025-11-09,,Active
S0458,C0439,1,Monthly,2026-03-03,2026-04-03,Churned
S0459,C0440,2,Annual,2026-01-11,,Active
S0460,C0441,1,Monthly,2026-04-26,,Active
S0461,C0442,2,Annual,2025-04-09,,Active
S0462,C0443,1,Annual,2026-03-17,,Active
S0463,C0444,3,Monthly,2025-05-26,2026-06-26,Churned
S0464,C0445,3,Monthly,2025-07-02,,Active
S0465,C0446,3,Annual,2026-02-22,,Active
S0466,C0447,1,Monthly,2026-06-09,,Active
S0467,C0448,2,Monthly,2026-01-22,,Active
S0468,C0449,3,Monthly,2025-02-06,,Active
S0469,C0450,2,Monthly,2026-01-05,,Active
S0470,C0451,1,Monthly,2025-02-23,2025-05-23,Churned
S0471,C0452,1,Monthly,2026-05-26,,Active
S0472,C0453,2,Annual,2026-02-28,,Active
S0473,C0454,2,Annual,2025-05-21,,Active
S0474,C0455,4,Monthly,2025-03-15,,Active
S0475,C0456,3,Monthly,2025-05-07,,Active
S0476,C0457,3,Monthly,2026-06-09,,Active
S0477,C0458,4,Annual,2025-11-20,,Active
S0478,C0459,3,Monthly,2026-03-11,2026-05-11,Churned
S0479,C0460,1,Monthly,2026-01-15,2026-02-15,Churned
S0480,C0461,1,Monthly,2026-01-06,2026-02-06,Churned
S0481,C0462,3,Annual,2025-04-14,,Active
S0482,C0463,1,Monthly,2026-06-08,,Active
S0483,C0464,4,Annual,2025-08-04,,Active
S0484,C0465,1,Annual,2026-01-05,,Active
S0485,C0466,1,Monthly,2026-02-15,,Active
S0486,C0467,3,Annual,2026-01-12,,Active
S0487,C0468,3,Monthly,2026-06-03,,Active
S0488,C0469,3,Annual,2025-04-16,,Active
S0489,C0470,1,Monthly,2025-11-05,2026-04-05,Churned
S0490,C0471,2,Annual,2025-10-01,,Active
S0491,C0472,2,Monthly,2025-11-04,2026-03-04,Churned
S0492,C0473,4,Annual,2025-04-14,,Active
S0493,C0474,1,Monthly,2025-04-29,2025-08-29,Churned
S0494,C0475,2,Monthly,2025-07-08,2025-12-08,Churned
S0495,C0476,1,Monthly,2025-08-09,2025-09-09,Churned
S0496,C0477,3,Monthly,2025-10-08,2026-05-08,Churned
S0497,C0478,1,Monthly,2026-01-12,,Active
S0498,C0479,4,Monthly,2026-01-23,,Active
S0499,C0480,1,Monthly,2025-10-10,2026-01-10,Churned
S0500,C0481,3,Monthly,2025-10-21,,Active
